type	time	latitude	longitude	altitude (m)	distance (km)	eos	name	desc
W	2016-02-11 03:48:11	47.718076000	-122.247286000				Start	2016-02-11 03:48:11
W	2016-02-11 08:03:47	47.717761000	-122.247111000				Lap 1	3.53km, 255:37, 0.8kph

type	time	latitude	longitude	altitude (m)	distance (km)	eos	name	desc
T	2016-02-11 03:48:11	47.718076000	-122.247286000	93.9	0.000		motionless_garmin_edge_705	255:37 - 3.5km
T	2016-02-11 03:48:12	47.718073000	-122.247287000	93.9	0.000			
T	2016-02-11 03:48:13	47.718070000	-122.247289000	93.9	0.000			
T	2016-02-11 03:48:14	47.718063000	-122.247293000	93.9	0.000			
T	2016-02-11 03:48:15	47.718060000	-122.247295000	93.7	0.000			
T	2016-02-11 03:48:16	47.718059000	-122.247296000	93.5	0.000			
T	2016-02-11 03:48:17	47.718055000	-122.247297000	93.8	0.000			
T	2016-02-11 03:48:18	47.718055000	-122.247295000	93.8	0.000			
T	2016-02-11 03:48:19	47.718057000	-122.247294000	93.7	0.000			
T	2016-02-11 03:48:20	47.718056000	-122.247296000	93.6	0.000			
T	2016-02-11 03:48:21	47.718053000	-122.247299000	93.6	0.000			
T	2016-02-11 03:48:22	47.718051000	-122.247297000	93.6	0.000			
T	2016-02-11 03:48:23	47.718054000	-122.247295000	93.6	0.001			
T	2016-02-11 03:48:24	47.718049000	-122.247290000	93.7	0.001			
T	2016-02-11 03:48:25	47.718050000	-122.247289000	93.7	0.001			
T	2016-02-11 03:48:26	47.718045000	-122.247284000	93.7	0.001			
T	2016-02-11 03:48:27	47.718047000	-122.247282000	93.7	0.001			
T	2016-02-11 03:48:28	47.718043000	-122.247278000	93.7	0.001			
T	2016-02-11 03:48:29	47.718043000	-122.247278000	93.7	0.001			
T	2016-02-11 03:48:30	47.718040000	-122.247272000	93.7	0.001			
T	2016-02-11 03:48:31	47.718038000	-122.247274000	93.6	0.001			
T	2016-02-11 03:48:32	47.718034000	-122.247270000	93.6	0.001			
T	2016-02-11 03:48:33	47.718033000	-122.247271000	93.6	0.001			
T	2016-02-11 03:48:34	47.718028000	-122.247268000	93.7	0.001			
T	2016-02-11 03:48:35	47.718024000	-122.247272000	93.7	0.001			
T	2016-02-11 03:48:36	47.718020000	-122.247267000	93.7	0.001			
T	2016-02-11 03:48:37	47.718021000	-122.247266000	93.7	0.001			
T	2016-02-11 03:48:38	47.718017000	-122.247261000	93.6	0.001			
T	2016-02-11 03:48:39	47.718016000	-122.247262000	93.6	0.001			
T	2016-02-11 03:48:40	47.718012000	-122.247256000	93.6	0.001			
T	2016-02-11 03:48:41	47.718014000	-122.247251000	93.6	0.001			
T	2016-02-11 03:48:42	47.718008000	-122.247242000	93.6	0.001			
T	2016-02-11 03:48:43	47.718011000	-122.247237000	93.6	0.002			
T	2016-02-11 03:48:44	47.718009000	-122.247232000	93.6	0.002			
T	2016-02-11 03:48:45	47.718012000	-122.247228000	93.6	0.002			
T	2016-02-11 03:48:46	47.718012000	-122.247227000	93.6	0.002			
T	2016-02-11 03:48:47	47.718014000	-122.247226000	93.6	0.002			
T	2016-02-11 03:48:48	47.718016000	-122.247224000	93.6	0.003			
T	2016-02-11 03:48:49	47.718018000	-122.247221000	93.6	0.003			
T	2016-02-11 03:48:50	47.718020000	-122.247219000	93.6	0.003			
T	2016-02-11 03:48:51	47.718022000	-122.247217000	93.5	0.003			
T	2016-02-11 03:48:52	47.718023000	-122.247213000	93.5	0.003			
T	2016-02-11 03:48:53	47.718027000	-122.247215000	93.5	0.004			
T	2016-02-11 03:48:54	47.718029000	-122.247212000	93.5	0.004			
T	2016-02-11 03:48:55	47.718034000	-122.247215000	93.5	0.005			
T	2016-02-11 03:48:56	47.718035000	-122.247211000	93.6	0.005			
T	2016-02-11 03:48:57	47.718028000	-122.247212000	93.6	0.005			
T	2016-02-11 03:48:58	47.718025000	-122.247205000	93.6	0.005			
T	2016-02-11 03:48:59	47.718026000	-122.247203000	93.6	0.005			
T	2016-02-11 03:49:00	47.718024000	-122.247199000	93.5	0.005			
T	2016-02-11 03:49:01	47.718022000	-122.247199000	93.5	0.005			
T	2016-02-11 03:49:02	47.718015000	-122.247178000	93.5	0.005			
T	2016-02-11 03:49:03	47.718016000	-122.247168000	93.5	0.005			
T	2016-02-11 03:49:04	47.718019000	-122.247161000	93.5	0.005			
T	2016-02-11 03:49:05	47.718009000	-122.247144000	93.5	0.005			
T	2016-02-11 03:49:06	47.718010000	-122.247138000	93.5	0.006			
T	2016-02-11 03:49:07	47.718005000	-122.247132000	93.5	0.006			
T	2016-02-11 03:49:08	47.717999000	-122.247126000	93.5	0.006			
T	2016-02-11 03:49:09	47.717987000	-122.247118000	93.5	0.006			
T	2016-02-11 03:49:10	47.717979000	-122.247113000	93.4	0.006			
T	2016-02-11 03:49:11	47.717972000	-122.247109000	93.4	0.006			
T	2016-02-11 03:49:12	47.717969000	-122.247106000	93.4	0.006			
T	2016-02-11 03:49:13	47.717965000	-122.247106000	93.4	0.006			
T	2016-02-11 03:49:14	47.717961000	-122.247104000	93.4	0.006			
T	2016-02-11 03:49:15	47.717952000	-122.247101000	93.4	0.006			
T	2016-02-11 03:49:16	47.717951000	-122.247091000	93.5	0.006			
T	2016-02-11 03:49:17	47.717942000	-122.247080000	93.5	0.006			
T	2016-02-11 03:49:18	47.717939000	-122.247073000	93.5	0.006			
T	2016-02-11 03:49:19	47.717930000	-122.247066000	93.5	0.006			
T	2016-02-11 03:49:20	47.717926000	-122.247060000	93.5	0.006			
T	2016-02-11 03:49:21	47.717929000	-122.247051000	93.4	0.006			
T	2016-02-11 03:49:22	47.717929000	-122.247045000	93.5	0.006			
T	2016-02-11 03:49:23	47.717924000	-122.247042000	93.5	0.006			
T	2016-02-11 03:49:24	47.717920000	-122.247040000	93.5	0.006			
T	2016-02-11 03:49:25	47.717911000	-122.247040000	93.5	0.006			
T	2016-02-11 03:49:26	47.717913000	-122.247034000	93.5	0.006			
T	2016-02-11 03:49:27	47.717913000	-122.247027000	93.5	0.006			
T	2016-02-11 03:49:28	47.717914000	-122.247020000	93.5	0.006			
T	2016-02-11 03:49:29	47.717917000	-122.247017000	93.4	0.007			
T	2016-02-11 03:49:30	47.717927000	-122.247012000	93.5	0.008			
T	2016-02-11 03:49:31	47.717937000	-122.247007000	93.4	0.009			
T	2016-02-11 03:49:32	47.717944000	-122.247002000	93.4	0.010			
T	2016-02-11 03:49:33	47.717951000	-122.246998000	93.4	0.011			
T	2016-02-11 03:49:34	47.717957000	-122.246994000	93.5	0.012			
T	2016-02-11 03:49:35	47.717963000	-122.246992000	93.5	0.012			
T	2016-02-11 03:49:36	47.717968000	-122.246989000	93.5	0.013			
T	2016-02-11 03:49:37	47.717972000	-122.246988000	93.5	0.013			
T	2016-02-11 03:49:38	47.717972000	-122.246988000	93.5	0.013			
T	2016-02-11 03:49:39	47.717982000	-122.246982000	93.5	0.014			
T	2016-02-11 03:49:40	47.717983000	-122.246981000	93.5	0.015			
T	2016-02-11 03:49:41	47.717989000	-122.246977000	93.5	0.015			
T	2016-02-11 03:49:42	47.717990000	-122.246977000	93.5	0.015			
T	2016-02-11 03:49:43	47.717990000	-122.246977000	93.5	0.015			
T	2016-02-11 03:49:44	47.717993000	-122.246976000	93.5	0.016			
T	2016-02-11 03:49:45	47.717993000	-122.246978000	93.5	0.016			
